# skymap_id,tract,patch,mjd,taiobs
100410100,10041,"1,0",56986.542329276,2014-11-25 13:00:57.249000
100410100,10041,"1,0",57398.3645457947,2016-01-11 08:44:56.757000
100410201,10041,"2,1",57785.32706353,2017-02-01 07:50:58.289000
100410201,10041,"2,1",58128.42055208,2018-01-10 10:05:35.700000
100410100,10041,"1,0",57398.3829812687,2016-01-11 09:11:29.582000
100410201,10041,"2,1",57398.3645457947,2016-01-11 08:44:56.757000
100410100,10041,"1,0",57398.3958339826,2016-01-11 09:30:00.056000
100410201,10041,"2,1",57398.3829812687,2016-01-11 09:11:29.582000
100410100,10041,"1,0",57398.4064828907,2016-01-11 09:45:20.122000
100410100,10041,"1,0",57398.4086376792,2016-01-11 09:48:26.295000
100410201,10041,"2,1",57398.3958339826,2016-01-11 09:30:00.056000
100410100,10041,"1,0",57398.4171125786,2016-01-11 10:00:38.527000
100410201,10041,"2,1",57398.4064828907,2016-01-11 09:45:20.122000
100410201,10041,"2,1",57398.4086376792,2016-01-11 09:48:26.295000
100410201,10041,"2,1",57398.4171125786,2016-01-11 10:00:38.527000
100420500,10042,"5,0",57398.4171125786,2016-01-11 10:00:38.527000
100420500,10042,"5,0",57398.4192739469,2016-01-11 10:03:45.269000
100420700,10042,"7,0",56986.542329276,2014-11-25 13:00:57.249000
100420700,10042,"7,0",57398.3645457947,2016-01-11 08:44:56.757000
100420700,10042,"7,0",57398.3829812687,2016-01-11 09:11:29.582000
100420700,10042,"7,0",57398.385877809,2016-01-11 09:15:39.843000
100420700,10042,"7,0",57398.3958339826,2016-01-11 09:30:00.056000
100420700,10042,"7,0",57398.4086376792,2016-01-11 09:48:26.295000
100420700,10042,"7,0",57398.4171125786,2016-01-11 10:00:38.527000
100420500,10042,"5,0",56986.542329276,2014-11-25 13:00:57.249000
100420500,10042,"5,0",57398.3829812687,2016-01-11 09:11:29.582000
100420500,10042,"5,0",57398.385877809,2016-01-11 09:15:39.843000
100420500,10042,"5,0",57398.4086376792,2016-01-11 09:48:26.295000
