# RA Dec
1.527461719999999978e+01 -9.582399999999999807e-01
3.329386901999999964e+02 -1.203486999999999973e+00
4.134395599999999860e+01 6.908330000000000304e-01
5.613997270000000839e+01 9.234412000000000731e-01
1.706391910000000323e+01 -3.008040000000000158e-01
3.385895691000000056e+02 -3.355839999999999934e-01
3.578610840000000053e+02 -4.874919999999999809e-01
3.456832886000000258e+02 1.045483799999999963e+00
3.580606078999999795e+02 1.261289999999999911e-01
3.537691040000000271e+02 2.973770000000000024e-01
3.454290465999999924e+02 1.948719999999999897e-01
3.226293029999999931e+02 -8.419740000000000002e-01
2.412173500000000193e+00 1.713790000000000036e-01
3.573979186999999911e+02 7.586850000000000538e-01
3.320129088999999567e+02 -4.292999999999999941e-03
1.934240000000000126e-01 1.239125000000000032e+00
3.500983886999999868e+02 6.701262000000000052e-01
3.173604431000000545e+02 -9.584951999999998806e-01
4.973446800000000501e+00 5.002377999999999547e-01
3.477507018999999673e+02 1.203300199999999931e+00
3.111506957999999941e+02 1.091554000000000135e+00
5.613831709999999475e+01 -7.364848000000000505e-01
3.054503060000000403e+01 -1.257052899999999918e+00
3.501852111999999693e+02 -1.016002199999999966e+00
3.507072143999999980e+02 -9.140921999999999104e-01
5.277609629999999896e+01 -5.471111999999999087e-01
2.504135700000000142e+01 1.296710000000000085e-01
3.357795105000000149e+02 6.522180000000000755e-01
1.226333140000000022e+01 -8.187560000000000393e-01
3.223276367000000278e+02 3.514479999999999826e-01
3.563936461999999779e+02 -2.482699999999999907e-01
1.961097339999999889e+01 4.645200000000000023e-02
9.456389400000000833e+00 1.433240000000000069e-01
2.828570939999999823e+01 -3.857789999999999830e-01
5.613831709999999475e+01 -7.364848000000000505e-01
1.092247869999999921e+01 -2.669440000000000146e-01
1.357670780000000121e+01 1.224771999999999972e+00
3.135582886000000258e+02 -5.938999999999999835e-03
3.532282103999999663e+02 -5.327937999999999841e-01
5.837130000000000374e-01 -8.730269999999999975e-01
5.366190000000000460e+00 1.072305199999999958e+00
5.436979999999999036e-01 -1.024046999999999930e+00
3.300172119000000066e+02 6.208069999999999977e-01
3.489385599999999954e+01 -5.294099999999999501e-02
4.589771650000000136e+01 -3.336379999999999901e-01
3.442803954999999974e+02 -1.043867000000000100e+00
3.932217100000000354e+00 -4.466989999999999572e-01
5.685263820000000123e+01 -8.635729999999999240e-01
7.501353299999999891e+00 -2.849470000000000058e-01
3.282018127000000050e+02 -1.056729999999999947e+00
9.853228599999999560e+00 4.407819999999999516e-01
3.530578308000000334e+02 -9.089719999999998912e-01
3.387737121999999772e+02 -2.776629999999999932e-01
3.152316588999999567e+02 -7.588179999999999925e-01
1.499853900000000095e+01 -1.147559800000000019e+00
4.174311829999999901e+01 5.520229999999999304e-01
3.289839171999999508e+02 -1.217571999999999877e+00
3.256866070000000235e+01 7.733630000000000226e-01
3.101416626000000178e+02 2.241590000000000249e-01
3.561761168999999541e+02 -3.457949999999999635e-01
2.212861060000000180e+01 3.158849999999999714e-01
3.156252136000000519e+02 8.491121999999999836e-01
8.777774800000001321e+00 -4.236659999999999870e-01
5.613831709999999475e+01 -7.364848000000000505e-01
3.097106628000000228e+02 9.815180000000000016e-01
3.146065063000000350e+02 1.182862000000000080e+00
3.494216003000000228e+02 4.489329999999999710e-01
3.102110596000000555e+02 -8.579080000000000039e-01
3.097443541999999752e+02 1.011290199999999917e+00
5.613831709999999475e+01 -7.364848000000000505e-01
1.163555899999999976e+00 -5.292989999999999640e-01
4.174311829999999901e+01 5.520229999999999304e-01
3.476260985999999775e+02 -9.627000000000000002e-01
3.140132141000000274e+02 5.366200000000000137e-02
3.523043823000000430e+02 -1.850880000000000025e-01
3.117474976000000311e+02 1.114250899999999822e+00
7.541917800000000227e+00 -9.583011999999998531e-01
2.108050000000000201e-01 1.166439999999999921e+00
1.226333140000000022e+01 -8.187560000000000393e-01
3.281047058000000334e+02 6.535241999999998885e-01
2.343255040000000022e+01 2.805960000000000121e-01
1.375158019999999937e+01 9.437402000000000291e-01
3.475034484999999904e+02 -8.783400000000000929e-02
3.456832886000000258e+02 1.045483799999999963e+00
3.101769103999999970e+02 3.168599999999999750e-01
3.093752136000000519e+02 8.287221999999999644e-01
2.631493000000000038e+01 4.919899999999999829e-01
3.146481018000000063e+02 6.274291999999999092e-01
4.649400709999999748e+01 -6.232820000000000027e-01
7.541917800000000227e+00 -9.583011999999998531e-01
3.025823019999999630e+01 9.968420000000000059e-01
3.475086059999999861e+02 1.030118899999999948e+00
3.497552185000000122e+02 -8.304650000000000087e-01
3.107476196000000641e+02 5.254850000000000909e-01
3.203206481999999937e+02 -8.053400000000000836e-02
3.294645691000000056e+02 2.134899999999999992e-02
3.580552978999999709e+02 -7.239760000000000639e-01
3.452403563999999960e+02 -3.507179999999999742e-01
3.583967896000000337e+02 6.386990000000000167e-01
3.571207886000000258e+02 1.644339999999999968e-01
1.685568620000000095e+01 -6.006050000000000555e-01
3.116824951000000397e+02 -1.057297900000000013e+00
2.834453010000000361e+01 -3.199119999999999742e-01
3.371734923999999864e+02 3.716150000000000286e-01
3.932217100000000354e+00 -4.466989999999999572e-01
1.375158019999999937e+01 9.437402000000000291e-01
3.253458861999999954e+02 -2.280189999999999995e-01
3.089908446999999683e+02 5.445512000000000130e-01
3.298450928000000317e+02 5.516029999999999545e-01
1.826260380000000083e+01 -8.772280000000001188e-01
1.701600069999999931e+01 1.131859999999999949e-01
3.194629821999999422e+02 1.068550699999999853e+00
3.102474976000000311e+02 6.032400000000000262e-02
1.555232999999999954e+01 -1.048369999999999858e-01
2.576277000000000150e+00 -1.167877899999999913e+00
5.323585129999999310e+01 2.676129999999999898e-01
2.000276100000000223e+00 -5.943999999999999631e-03
3.108529358000000116e+02 5.405100000000000182e-02
7.541917800000000227e+00 -9.583011999999998531e-01
4.174311829999999901e+01 5.520229999999999304e-01
3.113107909999999947e+02 2.024680000000000091e-01
1.683231929999999821e+01 -1.218203199999999820e+00
3.265563965000000053e+02 -1.051111000000000129e+00
5.887854390000000393e+01 -6.115140000000000020e-01
1.958545899999999840e+00 -1.540890000000000037e-01
3.300007018999999673e+02 1.240703000000000111e+00
3.371734923999999864e+02 3.716150000000000286e-01
3.256152648999999997e+02 -5.270150000000000112e-01
3.116473998999999822e+02 6.969009999999999927e-01
1.321990009999999849e+01 -1.193739200000000000e+00
3.456832886000000258e+02 1.045483799999999963e+00
1.595412829999999893e+01 2.926799999999999957e-01
2.022505999999999915e+00 -1.671630000000000060e-01
3.323742981000000327e+02 8.653830000000000133e-01
3.116824951000000397e+02 -1.057297900000000013e+00
3.149060973999999646e+02 5.309738000000000513e-01
3.163776854999999841e+02 -9.785722000000000032e-01
1.937137600000000148e+01 3.635019999999999918e-01
3.122070006999999805e+02 -1.029031999999999947e+00
3.227269896999999901e+02 8.779170000000000584e-01
3.111939050000000151e+01 4.867839999999999945e-01
3.219087830000000281e+02 -1.231777199999999794e+00
3.572766879999999645e+01 -6.796769000000000283e-01
2.856414600000000092e+01 3.396780000000000355e-01
3.158894348000000036e+02 -2.106349999999999889e-01
5.613997270000000839e+01 9.234412000000000731e-01
3.532282103999999663e+02 -5.327937999999999841e-01
8.115222900000000905e+00 9.043979999999999242e-01
3.298641663000000221e+02 -7.964400000000000646e-02
3.385895691000000056e+02 -3.355839999999999934e-01
3.455831603999999970e+02 -3.456369999999999720e-01
3.424757996000000162e+02 1.040544000000000135e+00
3.229896851000000311e+02 9.511551999999999785e-01
3.257882996000000162e+02 6.831450000000000022e-01
3.475034484999999904e+02 -8.783400000000000929e-02
3.476517028999999752e+02 1.071598199999999945e+00
3.244413146999999640e+02 3.747799999999999743e-02
2.126704980000000234e+01 -8.909928999999999766e-01
3.116437988000000132e+02 -1.257849999999999802e-01
6.571893199999999879e+00 2.620460000000000012e-01
2.607956900000000022e+00 9.132379999999998832e-01
3.597788620000000037e+01 -5.007300000000000084e-01
4.175376129999999364e+01 4.836560000000000303e-01
4.994526670000000479e+01 1.005209999999999937e+00
2.607956900000000022e+00 9.132379999999998832e-01
2.620096019999999726e+01 3.656730000000000258e-01
2.656516459999999924e+01 -1.206212400000000073e+00
3.126884459999999990e+02 1.533940000000000026e-01
3.210612183000000073e+02 -1.158905999999999992e+00
3.580140991000000668e+02 7.990209999999999813e-01
3.190047913000000221e+02 1.899520000000000097e-01
